roi,green_max,red_max,green_red_ratio
AL_left,0.8321928977966309,0.8549718260765076,0.9733571006843467
AL_right,0.9983968734741211,1.0,0.9983968734741211
CX,0.9967937469482422,0.9983513951301575,0.9984397796311867
MB_left,0.9980151653289795,0.8563456535339355,1.1654349633356664
MB_right,0.8332921862602234,0.9919008612632751,0.8400962422786393
PI,0.991628110408783,0.9973962306976318,0.9942168216488904
SEG,1.0,0.857283353805542,1.166475466438172
