Brain,ROI,Green,Red,Green_Red_Ratio,Reporter,Driver,Marker,Condition,InjuryType
UasMitoTimer_RepoGal4_1week_severe_single_f3,CX,0.7105851173400879,0.5000457763671875,1.4210401345701993,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f3,MB_left,0.7102814316749573,0.5000457763671875,1.4204328188413535,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f3,MB_right,0.7106719017028809,0.5000457763671875,1.4212136874065484,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f3,PI,0.7105417847633362,0.5000457763671875,1.4209534773504011,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f3,SEG,0.3554010391235351,0.5000457763671875,0.7107370083305361,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,AL_left,0.5687580704689026,0.9989623427391052,0.5693488594468898,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,AL_right,0.5687580704689026,0.9977415800094604,0.5700454725596479,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,CX,0.5687580704689026,0.9989013075828552,0.5693836479653683,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,MB_left,0.5670047998428345,0.500030517578125,1.1339403894568203,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,MB_right,0.5687580704689026,1.0,0.5687580704689026,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,PI,0.5687580704689026,0.500030517578125,1.1374467166997253,uasmitotimer,unknown,unknown,severe,single
UasMitoTimer_RepoGal4_1week_severe_single_f4,SEG,0.5687580704689026,0.500030517578125,1.1374467166997253,uasmitotimer,unknown,unknown,severe,single
UasMitoQC_RepoGal4_1week_moderate_single_f1,AL_left,0.9976094365119934,0.3333061933517456,2.9930720052933233,uasmitoqc,unknown,unknown,moderate,single
UasMitoQC_RepoGal4_1week_moderate_single_f1,AL_right,0.9979349374771118,0.6662258505821228,1.497892849106882,uasmitoqc,unknown,unknown,moderate,single
UasMitoQC_RepoGal4_1week_moderate_single_f1,CX,0.9986673593521118,0.3333061933517456,2.9962460322427775,uasmitoqc,unknown,unknown,moderate,single
UasMitoQC_RepoGal4_1week_moderate_single_f1,MB_left,0.6664292812347412,0.6658189296722412,1.0009166930156228,uasmitoqc,unknown,unknown,moderate,single
